n       E_n
0 (0.499910552672+0j)
1 (1.49955709191+0j)
2 (2.49890616963+0j)
3 (3.49837178776+0j)
4 (4.49991657031+0j)
5 (5.50956398696+0j)
6 (6.5389406838+0j)
7 (7.60152755703+0j)
8 (8.70593245985+0j)
9 (9.85368387429+0j)
10 (11.0418539051+0j)
11 (12.2660448362+0j)
12 (13.5219173881+0j)
13 (14.8056766618+0j)
14 (16.1141253155+0j)
15 (17.4445879729+0j)
16 (18.7948159214+0j)
17 (20.1629031261+0j)
18 (21.5472189038+0j)
19 (22.9463554594+0j)
20 (24.35908718+0j)
21 (25.7843388856+0j)
22 (27.2211608389+0j)
23 (28.6687088701+0j)
24 (30.1262284039+0j)
25 (31.5930414921+0j)
26 (33.0685361876+0j)
27 (34.5521577586+0j)
28 (36.0434013674+0j)
29 (37.5418059216+0j)
30 (39.0469488767+0j)
31 (40.5584418122+0j)
32 (42.0759266466+0j)
33 (43.5990723785+0j)
34 (45.1275722686+0j)
35 (46.6611413905+0j)
36 (48.199514492+0j)
37 (49.7424441224+0j)
38 (51.2896989901+0j)
39 (52.841062551+0j)
40 (54.3963319531+0j)
41 (55.9553180123+0j)
42 (57.5178490094+0j)
43 (59.0837882069+0j)
44 (60.653095024+0j)
45 (62.2260037573+0j)
46 (63.8034535872+0j)
47 (65.3878874216+0j)
48 (66.9842312711+0j)
49 (68.6002435716+0j)
50 (70.2452881631+0j)
51 (71.9278606425+0j)
52 (73.6536131167+0j)
53 (75.4250380773+0j)
54 (77.2423429753+0j)
55 (79.1045171257+0j)
56 (81.0100792165+0j)
57 (82.957472897+0j)
58 (84.9452354506+0j)
59 (86.9720509318+0j)
60 (89.0367530436+0j)
61 (91.1383096111+0j)
62 (93.2758025149+0j)
63 (95.4484084761+0j)
64 (97.655382414+0j)
65 (99.8960436253+0j)
66 (102.169764508+0j)
67 (104.475961417+0j)
68 (106.814087246+0j)
69 (109.183625397+0j)
70 (111.584084841+0j)
71 (114.014996066+0j)
72 (116.475907718+0j)
73 (118.966383807+0j)
74 (121.486001372+0j)
75 (124.034348512+0j)
76 (126.611022718+0j)
77 (129.215629461+0j)
78 (131.84778098+0j)
79 (134.507095245+0j)
80 (137.193195065+0j)
81 (139.905707313+0j)
82 (142.644262259+0j)
83 (145.408492986+0j)
84 (148.198034886+0j)
85 (151.012525213+0j)
86 (153.851602694+0j)
87 (156.714907194+0j)
88 (159.602079412+0j)
89 (162.51276062+0j)
90 (165.44659243+0j)
91 (168.403216595+0j)
92 (171.382274824+0j)
93 (174.383408627+0j)
94 (177.406259177+0j)
95 (180.450467188+0j)
96 (183.515672805+0j)
97 (186.601515516+0j)
98 (189.707634064+0j)
99 (192.833666385+0j)
100 (195.979249536+0j)
101 (199.144019652+0j)
102 (202.327611896+0j)
103 (205.529660425+0j)
104 (208.749798354+0j)
105 (211.987657735+0j)
106 (215.242869535+0j)
107 (218.515063619+0j)
108 (221.803868744+0j)
109 (225.108912546+0j)
110 (228.429821539+0j)
111 (231.766221117+0j)
112 (235.117735553+0j)
113 (238.483988007+0j)
114 (241.864600534+0j)
115 (245.259194096+0j)
116 (248.667388571+0j)
117 (252.088802772+0j)
118 (255.52305446+0j)
119 (258.969760367+0j)
120 (262.428536211+0j)
121 (265.898996721+0j)
122 (269.380755658+0j)
123 (272.873425841+0j)
124 (276.376619167+0j)
125 (279.889946647+0j)
126 (283.413018423+0j)
127 (286.945443803+0j)
128 (290.486831288+0j)
129 (294.036788601+0j)
130 (297.59492272+0j)
131 (301.160839906+0j)
132 (304.734145741+0j)
133 (308.314445152+0j)
134 (311.901342454+0j)
135 (315.494441376+0j)
136 (319.093345098+0j)
137 (322.697656288+0j)
138 (326.306977132+0j)
139 (329.920909375+0j)
140 (333.539054354+0j)
141 (337.161013032+0j)
142 (340.786386041+0j)
143 (344.41477371+0j)
144 (348.04577611+0j)
145 (351.678993088+0j)
146 (355.314024302+0j)
147 (358.950469262+0j)
148 (362.587927368+0j)
149 (366.225997944+0j)
150 (369.864280281+0j)
151 (373.50237367+0j)
152 (377.139877445+0j)
153 (380.77639102+0j)
154 (384.411513922+0j)
155 (388.044845839+0j)
156 (391.67598665+0j)
157 (395.304536467+0j)
158 (398.930095673+0j)
159 (402.552264959+0j)
160 (406.170645365+0j)
161 (409.784838314+0j)
162 (413.394445656+0j)
163 (416.999069698+0j)
164 (420.598313249+0j)
165 (424.191779654+0j)
166 (427.779072832+0j)
167 (431.359797313+0j)
168 (434.933558278+0j)
169 (438.49996159+0j)
170 (442.058613838+0j)
171 (445.609122368+0j)
172 (449.151095319+0j)
173 (452.684141663+0j)
174 (456.207871239+0j)
175 (459.721894783+0j)
176 (463.225823972+0j)
177 (466.719271449+0j)
178 (470.201850865+0j)
179 (473.673176907+0j)
180 (477.132865332+0j)
181 (480.580533003+0j)
182 (484.015797916+0j)
183 (487.438279235+0j)
184 (490.847597321+0j)
185 (494.243373764+0j)
186 (497.625231409+0j)
187 (500.992794388+0j)
188 (504.345688148+0j)
189 (507.683539476+0j)
190 (511.005976524+0j)
191 (514.31262884+0j)
192 (517.603127386+0j)
193 (520.877104566+0j)
194 (524.134194245+0j)
195 (527.374031771+0j)
196 (530.596253996+0j)
197 (533.800499292+0j)
198 (536.986407568+0j)
199 (540.153620289+0j)
200 (543.301780484+0j)
201 (546.430532764+0j)
202 (549.539523326+0j)
203 (552.628399967+0j)
204 (555.696812083+0j)
205 (558.744410682+0j)
206 (561.770848374+0j)
207 (564.77577938+0j)
208 (567.75885952+0j)
209 (570.719746209+0j)
210 (573.658098447+0j)
211 (576.573576802+0j)
212 (579.465843395+0j)
213 (582.334561873+0j)
214 (585.17939739+0j)
215 (588.000016567+0j)
216 (590.796087461+0j)
217 (593.56727952+0j)
218 (596.313263535+0j)
219 (599.033711585+0j)
220 (601.728296974+0j)
221 (604.396694158+0j)
222 (607.038578669+0j)
223 (609.653627025+0j)
224 (612.24151663+0j)
225 (614.801925662+0j)
226 (617.334532953+0j)
227 (619.839017847+0j)
228 (622.315060052+0j)
229 (624.762339467+0j)
230 (627.180535997+0j)
231 (629.569329342+0j)
232 (631.928398765+0j)
233 (634.257422839+0j)
234 (636.556079157+0j)
235 (638.824044017+0j)
236 (641.060992069+0j)
237 (643.266595922+0j)
238 (645.440525708+0j)
239 (647.582448591+0j)
240 (649.692028226+0j)
