n       E_n
0 (0.941697428165+0j)
1 (2.76790882732+0j)
2 (4.51785170433+0j)
3 (6.19167900887+0j)
4 (7.78953848109+0j)
5 (9.31157425853+0j)
6 (10.7579288304+0j)
7 (12.128744613+0j)
8 (13.4241640965+0j)
9 (14.6443279381+0j)
10 (15.7893827814+0j)
11 (16.8597808637+0j)
12 (17.8601370078+0j)
13 (18.818680154+0j)
14 (19.8041889071+0j)
15 (20.8760150369+0j)
16 (22.0474637826+0j)
17 (23.3120597777+0j)
18 (24.6624353933+0j)
19 (26.0935715171+0j)
20 (27.6024362701+0j)
21 (29.1873683608+0j)
22 (30.8475874238+0j)
23 (32.5828237309+0j)
24 (34.3930491411+0j)
25 (36.2782992156+0j)
26 (38.2385726247+0j)
27 (40.2737879207+0j)
28 (42.383776394+0j)
29 (44.5682933235+0j)
30 (46.8270356678+0j)
31 (49.1596595631+0j)
32 (51.5657947618+0j)
33 (54.045055336+0j)
34 (56.5970470006+0j)
35 (59.2213717688+0j)
36 (61.9176306667+0j)
37 (64.6854251154+0j)
38 (67.5243574411+0j)
39 (70.4340308456+0j)
40 (73.4140490583+0j)
41 (76.4640158209+0j)
42 (79.5835342975+0j)
43 (82.7722064705+0j)
44 (86.0296325545+0j)
45 (89.3554104495+0j)
46 (92.7491352411+0j)
47 (96.2103987505+0j)
48 (99.738789136+0j)
49 (103.33389054+0j)
50 (106.995282784+0j)
51 (110.722541095+0j)
52 (114.515235881+0j)
53 (118.372932527+0j)
54 (122.295191225+0j)
55 (126.28156683+0j)
56 (130.331608735+0j)
57 (134.444860773+0j)
58 (138.620861123+0j)
59 (142.859142251+0j)
60 (147.159230844+0j)
61 (151.520647774+0j)
62 (155.942908059+0j)
63 (160.425520845+0j)
64 (164.967989387+0j)
65 (169.569811046+0j)
66 (174.230477284+0j)
67 (178.949473675+0j)
68 (183.726279913+0j)
69 (188.56036983+0j)
70 (193.451211418+0j)
71 (198.398266852+0j)
72 (203.40099252+0j)
73 (208.458839055+0j)
74 (213.571251372+0j)
75 (218.737668705+0j)
76 (223.957524646+0j)
77 (229.230247191+0j)
78 (234.555258785+0j)
79 (239.93197637+0j)
80 (245.35981143+0j)
81 (250.83817005+0j)
82 (256.366452962+0j)
83 (261.944055603+0j)
84 (267.57036817+0j)
85 (273.244775676+0j)
86 (278.966658013+0j)
87 (284.735390004+0j)
88 (290.550341473+0j)
89 (296.4108773+0j)
90 (302.316357487+0j)
91 (308.266137223+0j)
92 (314.259566946+0j)
93 (320.295992411+0j)
94 (326.374754758+0j)
95 (332.495190575+0j)
96 (338.656631973+0j)
97 (344.858406649+0j)
98 (351.099837959+0j)
99 (357.380244987+0j)
100 (363.69894262+0j)
101 (370.055241614+0j)
102 (376.448448672+0j)
103 (382.877866514+0j)
104 (389.34279395+0j)
105 (395.842525959+0j)
106 (402.376353758+0j)
107 (408.943564881+0j)
108 (415.543443255+0j)
109 (422.175269274+0j)
110 (428.838319878+0j)
111 (435.53186863+0j)
112 (442.255185792+0j)
113 (449.007538407+0j)
114 (455.788190372+0j)
115 (462.596402523+0j)
116 (469.431432712+0j)
117 (476.292535884+0j)
118 (483.178964164+0j)
119 (490.08996693+0j)
120 (497.024790898+0j)
121 (503.982680205+0j)
122 (510.962876485+0j)
123 (517.964618957+0j)
124 (524.987144502+0j)
125 (532.029687749+0j)
126 (539.091481156+0j)
127 (546.171755095+0j)
128 (553.269737932+0j)
129 (560.384656113+0j)
130 (567.515734247+0j)
131 (574.662195191+0j)
132 (581.823260131+0j)
133 (588.998148671+0j)
134 (596.186078915+0j)
135 (603.386267549+0j)
136 (610.597929932+0j)
137 (617.820280176+0j)
138 (625.052531236+0j)
139 (632.293894988+0j)
140 (639.543582322+0j)
141 (646.800803224+0j)
142 (654.064766863+0j)
143 (661.334681674+0j)
144 (668.609755448+0j)
145 (675.889195414+0j)
146 (683.172208329+0j)
147 (690.458000561+0j)
148 (697.745778175+0j)
149 (705.034747024+0j)
150 (712.324112827+0j)
151 (719.613081263+0j)
152 (726.900858053+0j)
153 (734.186649046+0j)
154 (741.469660308+0j)
155 (748.749098206+0j)
156 (756.024169495+0j)
157 (763.294081403+0j)
158 (770.558041718+0j)
159 (777.815258874+0j)
160 (785.064942036+0j)
161 (792.306301188+0j)
162 (799.538547216+0j)
163 (806.760891994+0j)
164 (813.972548471+0j)
165 (821.172730757+0j)
166 (828.360654204+0j)
167 (835.535535496+0j)
168 (842.69659273+0j)
169 (849.843045505+0j)
170 (856.974115002+0j)
