n       E_n
0 (0.499886609818+0j)
1 (1.49943316789+0j)
2 (2.49852624841+0j)
3 (3.49716554215+0j)
4 (4.49535073947+0j)
5 (5.4930815331+0j)
6 (6.49035764332+0j)
7 (7.48717900038+0j)
8 (8.48354683849+0j)
9 (9.47946915511+0j)
10 (10.4749833926+0j)
11 (11.4702341945+0j)
12 (12.4656881662+0j)
13 (13.4625873388+0j)
14 (14.4635957453+0j)
15 (15.473177026+0j)
16 (16.4969856353+0j)
17 (17.540264553+0j)
18 (18.6063801988+0j)
19 (19.6964789621+0j)
20 (20.8100698422+0j)
21 (21.9458053848+0j)
22 (23.1020419391+0j)
23 (24.2771355911+0j)
24 (25.4695650009+0j)
25 (26.6779664075+0j)
26 (27.9011310219+0j)
27 (29.1379891521+0j)
28 (30.3875915049+0j)
29 (31.6490916328+0j)
30 (32.9217307256+0j)
31 (34.204824856+0j)
32 (35.4977544126+0j)
33 (36.7999553643+0j)
34 (38.1109120195+0j)
35 (39.4301509931+0j)
36 (40.7572361482+0j)
37 (42.0917643248+0j)
38 (43.4333617101+0j)
39 (44.781680733+0j)
40 (46.1363973896+0j)
41 (47.4972089278+0j)
42 (48.8638318306+0j)
43 (50.2360000522+0j)
44 (51.6134634725+0j)
45 (52.9959865607+0j)
46 (54.3833473107+0j)
47 (55.7753367736+0j)
48 (57.1717603719+0j)
49 (58.5724447758+0j)
50 (59.9772609089+0j)
51 (61.386188488+0j)
52 (62.7994715982+0j)
53 (64.217932311+0j)
54 (65.6434642115+0j)
55 (67.0795418733+0j)
56 (68.5313150489+0j)
57 (70.0048788924+0j)
58 (71.5059142884+0j)
59 (73.0385162783+0j)
60 (74.6048358883+0j)
61 (76.20543604+0j)
62 (77.8398909665+0j)
63 (79.5072910262+0j)
64 (81.2065595149+0j)
65 (82.9366166843+0j)
66 (84.6964505997+0j)
67 (86.4851396191+0j)
68 (88.3018526576+0j)
69 (90.1458406571+0j)
70 (92.0164255481+0j)
71 (93.9129893989+0j)
72 (95.8349647467+0j)
73 (97.7818263523+0j)
74 (99.7530843113+0j)
75 (101.748278351+0j)
76 (103.766973121+0j)
77 (105.808754296+0j)
78 (107.873225351+0j)
79 (109.960004871+0j)
80 (112.068724305+0j)
81 (114.199026075+0j)
82 (116.350561984+0j)
83 (118.522991864+0j)
84 (120.715982418+0j)
85 (122.929206241+0j)
86 (125.162340965+0j)
87 (127.415068534+0j)
88 (129.68707457+0j)
89 (131.978047823+0j)
90 (134.287679693+0j)
91 (136.615663816+0j)
92 (138.961695694+0j)
93 (141.32547238+0j)
94 (143.706692195+0j)
95 (146.10505448+0j)
96 (148.520259383+0j)
97 (150.952007662+0j)
98 (153.400000519+0j)
99 (155.86393945+0j)
100 (158.343526117+0j)
101 (160.838462227+0j)
102 (163.348449435+0j)
103 (165.873189251+0j)
104 (168.412382964+0j)
105 (170.965731572+0j)
106 (173.532935722+0j)
107 (176.11369566+0j)
108 (178.707711183+0j)
109 (181.314681605+0j)
110 (183.934305719+0j)
111 (186.566281775+0j)
112 (189.210307453+0j)
113 (191.866079847+0j)
114 (194.533295453+0j)
115 (197.211650152+0j)
116 (199.900839209+0j)
117 (202.600557265+0j)
118 (205.310498335+0j)
119 (208.030355813+0j)
120 (210.759822468+0j)
121 (213.498590456+0j)
122 (216.246351323+0j)
123 (219.002796016+0j)
124 (221.767614894+0j)
125 (224.540497735+0j)
126 (227.321133758+0j)
127 (230.10921163+0j)
128 (232.904419486+0j)
129 (235.706444946+0j)
130 (238.514975131+0j)
131 (241.329696685+0j)
132 (244.150295792+0j)
133 (246.976458198+0j)
134 (249.807869234+0j)
135 (252.644213834+0j)
136 (255.485176563+0j)
137 (258.330441636+0j)
138 (261.179692945+0j)
139 (264.032614081+0j)
140 (266.888888362+0j)
141 (269.748198855+0j)
142 (272.610228404+0j)
143 (275.474659654+0j)
144 (278.341175081+0j)
145 (281.209457014+0j)
146 (284.079187666+0j)
147 (286.95004916+0j)
148 (289.821723556+0j)
149 (292.693892877+0j)
150 (295.566239142+0j)
151 (298.438444388+0j)
152 (301.310190702+0j)
153 (304.181160248+0j)
154 (307.051035295+0j)
155 (309.919498246+0j)
156 (312.786231666+0j)
157 (315.65091831+0j)
158 (318.513241154+0j)
159 (321.37288342+0j)
160 (324.229528605+0j)
161 (327.082860514+0j)
162 (329.93256328+0j)
163 (332.778321401+0j)
164 (335.619819762+0j)
165 (338.456743665+0j)
166 (341.288778859+0j)
167 (344.115611563+0j)
168 (346.936928498+0j)
169 (349.752416914+0j)
170 (352.561764612+0j)
171 (355.364659979+0j)
172 (358.160792008+0j)
173 (360.949850327+0j)
174 (363.731525226+0j)
175 (366.505507682+0j)
