n       E_n
0 (0.494681408528+0j)
1 (1.45261350126+0j)
2 (2.36855949489+0j)
3 (3.24260097622+0j)
4 (4.07481329409+0j)
5 (4.86526556075+0j)
6 (5.61402065233+0j)
7 (6.3211352083+0j)
8 (6.98665963178+0j)
9 (7.6106382204+0j)
10 (8.19311527987+0j)
11 (8.73429777531+0j)
12 (9.2367349575+0j)
13 (9.71643497602+0j)
14 (10.2113394901+0j)
15 (10.7517985883+0j)
16 (11.3429904085+0j)
17 (11.9805904051+0j)
18 (12.6600898958+0j)
19 (13.378086218+0j)
20 (14.132029285+0j)
21 (14.9199382321+0j)
22 (15.7402174356+0j)
23 (16.5915417911+0j)
24 (17.4727832424+0j)
25 (18.3829619496+0j)
26 (19.3212126587+0j)
27 (20.2867607945+0j)
28 (21.2789049914+0j)
29 (22.2970040166+0j)
30 (23.3404667735+0j)
31 (24.4087445159+0j)
32 (25.5013246847+0j)
33 (26.6177259564+0j)
34 (27.7574942121+0j)
35 (28.920199218+0j)
36 (30.1054318631+0j)
37 (31.3128018383+0j)
38 (32.5419356727+0j)
39 (33.792475064+0j)
40 (35.0640754586+0j)
41 (36.3564048578+0j)
42 (37.6691428475+0j)
43 (39.0019798823+0j)
44 (40.3546169021+0j)
45 (41.726765434+0j)
46 (43.1181484442+0j)
47 (44.5285023623+0j)
48 (45.9575809071+0j)
49 (47.4051615744+0j)
50 (48.8710558393+0j)
51 (50.3551241342+0j)
52 (51.8572962798+0j)
53 (53.3775969822+0j)
54 (54.9161740918+0j)
55 (56.4733246875+0j)
56 (58.0495114978+0j)
57 (59.6453611811+0j)
58 (61.2616381694+0j)
59 (62.8991936344+0j)
60 (64.5588969463+0j)
61 (66.2415631797+0j)
62 (67.9478914883+0j)
63 (69.6784249333+0j)
64 (71.4335350755+0j)
65 (73.2134279599+0j)
66 (75.0181644114+0j)
67 (76.8476870841+0j)
68 (78.7018483223+0j)
69 (80.5804351829+0j)
70 (82.4831899835+0j)
71 (84.4098261164+0j)
72 (86.3600396161+0j)
73 (88.3335172622+0j)
74 (90.3299420289+0j)
75 (92.3489965912+0j)
76 (94.3903654588+0j)
77 (96.4537361678+0j)
78 (98.5387998455+0j)
79 (100.645251369+0j)
80 (102.772789272+0j)
81 (104.921115499+0j)
82 (107.089935088+0j)
83 (109.278955804+0j)
84 (111.487887775+0j)
85 (113.716443139+0j)
86 (115.9643357+0j)
87 (118.23128062+0j)
88 (120.516994133+0j)
89 (122.821193285+0j)
90 (125.143595704+0j)
91 (127.483919395+0j)
92 (129.841882552+0j)
93 (132.217203401+0j)
94 (134.609600052+0j)
95 (137.018790376+0j)
96 (139.444491896+0j)
97 (141.886421686+0j)
98 (144.344296295+0j)
99 (146.817831665+0j)
100 (149.306743076+0j)
101 (151.81074509+0j)
102 (154.329551507+0j)
103 (156.862875324+0j)
104 (159.410428705+0j)
105 (161.971922954+0j)
106 (164.547068498+0j)
107 (167.135574867+0j)
108 (169.737150682+0j)
109 (172.35150365+0j)
110 (174.978340558+0j)
111 (177.61736727+0j)
112 (180.268288733+0j)
113 (182.930808974+0j)
114 (185.604631113+0j)
115 (188.289457369+0j)
116 (190.984989069+0j)
117 (193.690926662+0j)
118 (196.406969732+0j)
119 (199.132817013+0j)
120 (201.868166409+0j)
121 (204.612715004+0j)
122 (207.366159092+0j)
123 (210.128194186+0j)
124 (212.898515048+0j)
125 (215.676815705+0j)
126 (218.462789475+0j)
127 (221.25612899+0j)
128 (224.056526219+0j)
129 (226.863672495+0j)
130 (229.677258538+0j)
131 (232.496974482+0j)
132 (235.322509905+0j)
133 (238.153553849+0j)
134 (240.989794855+0j)
135 (243.830920985+0j)
136 (246.676619854+0j)
137 (249.526578656+0j)
138 (252.380484196+0j)
139 (255.238022918+0j)
140 (258.098880932+0j)
141 (260.962744048+0j)
142 (263.829297803+0j)
143 (266.698227492+0j)
144 (269.569218199+0j)
145 (272.441954828+0j)
146 (275.316122133+0j)
147 (278.191404748+0j)
148 (281.067487221+0j)
149 (283.944054041+0j)
150 (286.820789673+0j)
151 (289.69737859+0j)
152 (292.573505298+0j)
153 (295.448854377+0j)
154 (298.323110503+0j)
155 (301.195958489+0j)
156 (304.067083308+0j)
157 (306.936170132+0j)
158 (309.802904359+0j)
159 (312.666971645+0j)
160 (315.52805794+0j)
161 (318.385849514+0j)
162 (321.240032993+0j)
163 (324.090295387+0j)
164 (326.936324127+0j)
165 (329.777807091+0j)
166 (332.614432637+0j)
167 (335.445889636+0j)
168 (338.271867504+0j)
169 (341.09205623+0j)
170 (343.906146408+0j)
171 (346.713829272+0j)
172 (349.514796721+0j)
173 (352.308741354+0j)
174 (355.095356499+0j)
175 (357.874336244+0j)
176 (360.645375467+0j)
177 (363.408169866+0j)
178 (366.16241599+0j)
179 (368.907811268+0j)
180 (371.644054038+0j)
181 (374.370843577+0j)
182 (377.087880133+0j)
183 (379.794864948+0j)
184 (382.49150029+0j)
185 (385.177489482+0j)
186 (387.852536931+0j)
187 (390.516348151+0j)
188 (393.168629796+0j)
189 (395.809089684+0j)
190 (398.437436823+0j)
191 (401.053381442+0j)
192 (403.656635012+0j)
193 (406.246910274+0j)
194 (408.823921266+0j)
195 (411.387383344+0j)
196 (413.937013207+0j)
197 (416.472528926+0j)
198 (418.993649959+0j)
199 (421.500097182+0j)
200 (423.991592905+0j)
201 (426.467860896+0j)
202 (428.928626403+0j)
203 (431.373616173+0j)
204 (433.802558471+0j)
205 (436.215183101+0j)
206 (438.611221422+0j)
207 (440.990406364+0j)
208 (443.35247245+0j)
209 (445.697155804+0j)
210 (448.024194169+0j)
211 (450.333326923+0j)
212 (452.624295084+0j)
213 (454.896841329+0j)
214 (457.150709995+0j)
215 (459.385647097+0j)
216 (461.601400325+0j)
217 (463.797719056+0j)
218 (465.974354354+0j)
219 (468.131058974+0j)
220 (470.267587359+0j)
221 (472.38369564+0j)
222 (474.479141631+0j)
223 (476.553684818+0j)
224 (478.607086357+0j)
225 (480.639109052+0j)
226 (482.649517349+0j)
227 (484.638077307+0j)
228 (486.604556584+0j)
229 (488.548724406+0j)
230 (490.470351534+0j)
231 (492.369210233+0j)
232 (494.245074228+0j)
233 (496.097718657+0j)
234 (497.92692002+0j)
235 (499.732456114+0j)
236 (501.514105971+0j)
237 (503.271649779+0j)
238 (505.004868794+0j)
239 (506.713545246+0j)
240 (508.397462227+0j)
241 (510.056403572+0j)
242 (511.690153719+0j)
243 (513.298497555+0j)
244 (514.881220242+0j)
245 (516.438107019+0j)
246 (517.96894298+0j)
247 (519.473512822+0j)
248 (520.95160056+0j)
249 (522.402989199+0j)
250 (523.827460365+0j)
251 (525.224793876+0j)
252 (526.594767251+0j)
253 (527.937155147+0j)
254 (529.251728695+0j)
255 (530.538254736+0j)
256 (531.796494912+0j)
257 (533.026204608+0j)
258 (534.227131676+0j)
259 (535.399014918+0j)
260 (536.541582246+0j)
261 (537.654548446+0j)
262 (538.737612412+0j)
263 (539.79045372+0j)
264 (540.812728293+0j)
265 (541.804062883+0j)
266 (542.764047903+0j)
267 (543.692227984+0j)
268 (544.58808927+0j)
269 (545.451041943+0j)
270 (546.28039551+0j)
271 (547.075322884+0j)
272 (547.834806947+0j)
273 (548.557550981+0j)
274 (549.241751342+0j)
275 (549.884768245+0j)
276 (550.485428823+0j)
277 (551.040508788+0j)
278 (551.473611746+0j)
279 (551.914248396+0j)
280 (552.541186901+0j)
281 (552.668743113+0j)
282 (553.252514394+0j)
283 (554.002170479+0j)
284 (554.778154294+0j)
